label_id	type	type_color
12987.0	foregut_neurons	255-23-190-207
12988.0	foregut_neurons	255-23-190-207
12989.0	foregut_neurons	255-23-190-207
12992.0	foregut_neurons	255-23-190-207
12994.0	foregut_neurons	255-23-190-207
12995.0	foregut_neurons	255-23-190-207
12998.0	foregut_neurons	255-23-190-207
12999.0	foregut_neurons	255-23-190-207
13003.0	foregut_neurons	255-23-190-207
13012.0	foregut_muscles	255-255-187-120
13014.0	foregut_muscles	255-255-187-120
13015.0	foregut_neurons	255-23-190-207
13017.0	foregut_neurons	255-23-190-207
13019.0	foregut_muscles	255-255-187-120
13021.0	foregut_neurons	255-23-190-207
13023.0	foregut_muscles	255-255-187-120
13038.0	foregut_muscles	255-255-187-120
13041.0	foregut_muscles	255-255-187-120
13043.0	foregut_muscles	255-255-187-120
13045.0	foregut_neurons	255-23-190-207
13120.0	foregut_muscles	255-255-187-120
13121.0	foregut_muscles	255-255-187-120
13140.0	foregut_muscles	255-255-187-120
13145.0	foregut_muscles	255-255-187-120
13146.0	foregut_neurons	255-23-190-207
13147.0	foregut_neurons	255-23-190-207
13149.0	foregut_neurons	255-23-190-207
13150.0	foregut_muscles	255-255-187-120
13165.0	foregut_muscles	255-255-187-120
13166.0	foregut_muscles	255-255-187-120
13167.0	foregut_muscles	255-255-187-120
13170.0	foregut_neurons	255-23-190-207
13171.0	foregut_neurons	255-23-190-207
13172.0	foregut_neurons	255-23-190-207
13185.0	foregut_neurons	255-23-190-207
13186.0	foregut_neurons	255-23-190-207
13188.0	foregut_neurons	255-23-190-207
13192.0	foregut_muscles	255-255-187-120
13194.0	foregut_neurons	255-23-190-207
13196.0	forgut_epithelium	255-188-189-34
13197.0	foregut_neurons	255-23-190-207
13198.0	forgut_epithelium	255-188-189-34
13201.0	forgut_epithelium	255-188-189-34
13202.0	forgut_epithelium	255-188-189-34
13213.0	foregut_neurons	255-23-190-207
13214.0	foregut_neurons	255-23-190-207
13216.0	foregut_neurons	255-23-190-207
13217.0	foregut_neurons	255-23-190-207
13220.0	foregut_neurons	255-23-190-207
13222.0	foregut_neurons	255-23-190-207
13237.0	foregut_muscles	255-255-187-120
13238.0	forgut_epithelium	255-188-189-34
13241.0	foregut_neurons	255-23-190-207
13251.0	foregut_muscles	255-255-187-120
13347.0	foregut_muscles	255-255-187-120
13350.0	foregut_muscles	255-255-187-120
13352.0	foregut_neurons	255-23-190-207
13353.0	foregut_muscles	255-255-187-120
13357.0	foregut_muscles	255-255-187-120
13374.0	foregut_neurons	255-23-190-207
13375.0	foregut_neurons	255-23-190-207
13377.0	foregut_neurons	255-23-190-207
13378.0	foregut_neurons	255-23-190-207
13379.0	foregut_neurons	255-23-190-207
13380.0	foregut_muscles	255-255-187-120
13396.0	forgut_epithelium	255-188-189-34
13398.0	forgut_epithelium	255-188-189-34
13399.0	foregut_neurons	255-23-190-207
13412.0	foregut_neurons	255-23-190-207
13413.0	foregut_neurons	255-23-190-207
13414.0	foregut_neurons	255-23-190-207
13416.0	foregut_neurons	255-23-190-207
13418.0	foregut_neurons	255-23-190-207
13419.0	foregut_neurons	255-23-190-207
13422.0	foregut_muscles	255-255-187-120
